Notes,Status in current build,"Greatest D&D Guide article (1-9), or outside-guide topic",category,App component it applies to,Blue text (verbatim)
the box exists but doesn't start collapsed (row:prescaling not in editor.INITIAL_COLLAPSED),Needs work,8 (Alternative complexities — prescaling),Prescaler / complexity / weight,The 'complexity prescaling' box (collapse default),"starts collapsed, because default weight is unity-weight"
"'alt. complexity' is built but shelved (greyed, held out of IMPLEMENTED)",Needs work,8 (Alternative complexities),"Left ""Show"" panel (the gear drop-down)",The 'alt. complexity' toggle,"toggle controls in boxes ""T"" and ""c"""
the box exists but doesn't start collapsed (row:complexity not in editor.INITIAL_COLLAPSED),Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The 'complexity' box (collapse default),"starts collapsed, because default weight is unity-weight"
the complexity subsection shows whenever weighting is on; it isn't hidden under the default unity-weight,Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The complexity subsection (norm power + predefined complexities),this complexity subsection only appears if complexity- or simplicity-weight is chosen; and unity-weight is the default
the norm-power (q) field is a display-only stub (no behavior wired yet),Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The norm-power field,so this says which norm of each member of XT to take
no matrix-𝑊 / chart-drop behavior; the weight is always a list 𝒘,Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The weight chart / matrix W (non-square prescaler),"when a non-square X is used, like ignore-diminuator types, then this will need to expand to W and maybe lose the chart"
"the slope dropdown has complexity/simplicity/unity (default unity), but there's no 'custom'/manual per-target weight option",Needs work,8 (standard options); custom/manual per-target weights are outside the guide,Prescaler / complexity / weight,The 'damage weight slope' drop-down,"this only includes complexity, simplicity, and unity weight as options, plus custom weight. so it either copies c, inverts it, sets these all to 1, or makes these all interactive white boxes. though we don't talk about it in the guide, there's no reason you couldn't just provide manual weights per target-interval."
the 'replace diminuator' checkbox + lp↔lils wiring is built but only renders under shelved alt_complexity,Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The 'ignore diminuator' checkbox (lp ↔ lils),"this is what e.g. changes lp to lils. if lp is selected, become lils. otherwise, change options in dropdown to lils and lols"
the dropdown + all options + override wiring are built but gated behind shelved alt_complexity (only 'lp' offered),Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The 'predefined complexities' drop-down,"this should have options for copfr, (lp), lils, lols, sopfr, and Euclideanized versions of those. this choice should override both the prescaler over there and the norm power just below"
the wiring exists (would update units) but the prescaler dropdown is gated behind shelved alt_complexity (only 'log-prime' selectable),Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The 'predefined prescalers' drop-down (changing it updates the units),selection should update the units to the left
all three options exist in code but only 'log-prime' is offered (alt_complexity shelved),Needs work,8 (Alternative complexities),Prescaler / complexity / weight,The 'predefined prescalers' drop-down options,"options are identify, log prime, and prime"